2025-05-09 18:08:28 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-05-09 18:08:28 [main] INFO  c.l.l.LibrarymanagementApplication - Starting LibrarymanagementApplication using Java 21.0.6 with PID 50137 (/Users/kutayakpinar/Desktop/GetirLMA/librarymanagement/target/classes started by kutayakpinar in /Users/kutayakpinar/Desktop/GetirLMA)
2025-05-09 18:08:28 [main] INFO  c.l.l.LibrarymanagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-09 18:08:28 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-05-09 18:08:28 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 3 JPA repository interfaces.
2025-05-09 18:08:28 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-05-09 18:08:28 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-05-09 18:08:28 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-05-09 18:08:28 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-05-09 18:08:28 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-09 18:08:28 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 756 ms
2025-05-09 18:08:28 [main] INFO  c.l.l.security.JwtTokenProvider - Initializing JWT token provider with secret key
2025-05-09 18:08:28 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-05-09 18:08:28 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-05-09 18:08:28 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-05-09 18:08:29 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-05-09 18:08:29 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-05-09 18:08:29 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@bb50de6
2025-05-09 18:08:29 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-05-09 18:08:29 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-05-09 18:08:29 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-05-09 18:08:29 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-05-09 18:08:29 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-05-09 18:08:30 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-09 18:08:30 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3a42610, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1107cbd8, org.springframework.security.web.context.SecurityContextHolderFilter@63b95a30, org.springframework.security.web.header.HeaderWriterFilter@4ce66169, org.springframework.web.filter.CorsFilter@610640e3, org.springframework.security.web.authentication.logout.LogoutFilter@1d7d2345, com.librarymanagement.librarymanagement.security.JwtAuthenticationFilter@40c92dfa, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@40f49d72, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@58581ab6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@95f61c2, org.springframework.security.web.session.SessionManagementFilter@293ccbdd, org.springframework.security.web.access.ExceptionTranslationFilter@13d7d1a8, org.springframework.security.web.access.intercept.AuthorizationFilter@c197f46]
2025-05-09 18:08:30 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-05-09 18:08:30 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-05-09 18:08:30 [main] INFO  c.l.l.LibrarymanagementApplication - Started LibrarymanagementApplication in 2.731 seconds (process running for 2.882)
2025-05-09 18:08:41 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-05-09 18:08:41 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-05-09 18:08:41 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-05-09 20:41:41 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-05-09 20:41:41 [main] INFO  c.l.l.LibrarymanagementApplication - Starting LibrarymanagementApplication using Java 21.0.6 with PID 51802 (/Users/kutayakpinar/Desktop/GetirLMA/librarymanagement/target/classes started by kutayakpinar in /Users/kutayakpinar/Desktop/GetirLMA)
2025-05-09 20:41:41 [main] INFO  c.l.l.LibrarymanagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-09 20:41:41 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-05-09 20:41:41 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 3 JPA repository interfaces.
2025-05-09 20:41:42 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-05-09 20:41:42 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-05-09 20:41:42 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-05-09 20:41:42 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-05-09 20:41:42 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-09 20:41:42 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 811 ms
2025-05-09 20:41:42 [main] INFO  c.l.l.security.JwtTokenProvider - Initializing JWT token provider with secret key
2025-05-09 20:41:42 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-05-09 20:41:42 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-05-09 20:41:42 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-05-09 20:41:42 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-05-09 20:41:42 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-05-09 20:41:42 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5eb2972f
2025-05-09 20:41:42 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-05-09 20:41:42 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-05-09 20:41:42 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-05-09 20:41:42 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-05-09 20:41:43 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-05-09 20:41:43 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-09 20:41:43 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1a0b51e7, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6f96d39f, org.springframework.security.web.context.SecurityContextHolderFilter@e7b7395, org.springframework.security.web.header.HeaderWriterFilter@292237cd, org.springframework.web.filter.CorsFilter@5f49c09d, org.springframework.security.web.authentication.logout.LogoutFilter@2ff30a75, com.librarymanagement.librarymanagement.security.JwtAuthenticationFilter@380e470a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@54a04eae, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@39595a8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@c197f46, org.springframework.security.web.session.SessionManagementFilter@40f40221, org.springframework.security.web.access.ExceptionTranslationFilter@3d0c88f4, org.springframework.security.web.access.intercept.AuthorizationFilter@320bfc61]
2025-05-09 20:41:43 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-05-09 20:41:43 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-05-09 20:41:43 [main] INFO  c.l.l.LibrarymanagementApplication - Started LibrarymanagementApplication in 2.821 seconds (process running for 2.997)
2025-05-09 20:41:47 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-05-09 20:41:47 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-05-09 20:41:47 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-05-09 20:43:03 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-05-09 20:43:03 [main] INFO  c.l.l.LibrarymanagementApplication - Starting LibrarymanagementApplication using Java 21.0.6 with PID 52004 (/Users/kutayakpinar/Desktop/GetirLMA/librarymanagement/target/classes started by kutayakpinar in /Users/kutayakpinar/Desktop/GetirLMA)
2025-05-09 20:43:03 [main] INFO  c.l.l.LibrarymanagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-09 20:43:03 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
